epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.13205,1.40065,4.99118,1.85588,0.35945,0.33333,0.03317,0.01354,1.9839,8.02683,2.77546,0,0,0
2,6.17462,1.8862,4.83209,2.20588,0.35567,0.33333,0.03317,0.01417,1.97937,7.83093,2.76853,1.089e-05,1.089e-05,1.089e-05
3,9.49375,1.46755,4.80801,1.8506,0.35764,0.33333,0.04146,0.01046,1.97306,7.18773,2.75026,2.13401e-05,2.13401e-05,2.13401e-05
4,12.5309,1.37374,4.75004,1.73078,0.37862,0.33333,0.06633,0.01548,1.88895,6.67371,2.5832,3.13502e-05,3.13502e-05,3.13502e-05
5,16.7992,1.53842,4.29572,1.94951,0.49823,0.32979,0.16583,0.02018,1.7672,6.69327,2.43034,4.09204e-05,4.09204e-05,4.09204e-05
6,19.4393,1.60065,4.22306,2.07778,0.49771,0.32875,0.18738,0.04006,1.78056,6.67587,2.53775,5.00506e-05,5.00506e-05,5.00506e-05
7,21.774,1.42829,3.2653,1.97577,0.41302,0.33333,0.15596,0.05538,1.61515,7.32995,2.39216,5.87408e-05,5.87408e-05,5.87408e-05
8,24.7866,1.34575,2.69225,1.83264,0.1419,0.33333,0.22884,0.07301,1.83924,7.23855,2.69856,6.69911e-05,6.69911e-05,6.69911e-05
9,27.8379,1.25197,2.58444,1.77229,0.22785,0.55556,0.26035,0.07396,1.92035,8.60352,2.76688,7.48014e-05,7.48014e-05,7.48014e-05
10,31.2832,1.0746,2.27045,1.67369,0.17851,0.55556,0.19879,0.06634,2.02622,10.0151,2.89927,8.21718e-05,8.21718e-05,8.21718e-05
11,34.6424,1.3863,2.69627,1.84223,0.08154,0.22222,0.0979,0.05619,2.01946,11.4797,2.9435,8.91022e-05,8.91022e-05,8.91022e-05
12,37.9568,0.72449,2.00114,1.34998,0.48175,0.11111,0.133,0.07451,2.0827,11.6296,2.98432,9.55927e-05,9.55927e-05,9.55927e-05
13,41.2447,0.92268,1.9053,1.47657,0.49049,0.11111,0.11949,0.06995,2.09383,12.1134,3.05723,0.000101643,0.000101643,0.000101643
14,45.0612,0.99135,1.89933,1.44304,0.49007,0.11111,0.08998,0.04916,2.13555,11.5284,3.09377,0.000107254,0.000107254,0.000107254
15,48.7557,0.88721,1.8631,1.45817,0.17442,0.44444,0.22858,0.06998,2.2634,10.9298,3.22125,0.000112424,0.000112424,0.000112424
16,52.307,0.85369,1.75398,1.37217,0.18925,0.44444,0.25145,0.07218,2.17926,10.5827,3.06672,0.000117155,0.000117155,0.000117155
17,55.7526,1.04233,1.62985,1.48825,0.19122,0.47174,0.2582,0.07237,2.06611,9.59056,2.76758,0.000121446,0.000121446,0.000121446
18,59.1977,0.70172,1.4005,1.3118,0.19122,0.47174,0.2582,0.07237,2.06611,9.59056,2.76758,0.000125296,0.000125296,0.000125296
19,62.5644,0.76045,1.36679,1.25478,0.16288,0.55556,0.28443,0.11684,2.03287,7.58638,2.65903,0.000128707,0.000128707,0.000128707
20,66.5999,1.17694,1.93223,1.74301,0.16288,0.55556,0.28443,0.11684,2.03287,7.58638,2.65903,0.000131678,0.000131678,0.000131678
21,69.34,0.62684,1.29121,1.23031,0.19969,0.55556,0.33403,0.11933,1.90434,6.3386,2.57682,0.000134209,0.000134209,0.000134209
22,71.7637,0.66806,1.33617,1.18419,0.19969,0.55556,0.33403,0.11933,1.90434,6.3386,2.57682,0.0001363,0.0001363,0.0001363
23,74.8754,0.95744,1.84313,1.46495,0.40567,0.22222,0.34525,0.12892,1.87661,5.31442,2.59308,0.000137951,0.000137951,0.000137951
24,77.9754,1.10566,1.69006,1.49222,0.40567,0.22222,0.34525,0.12892,1.87661,5.31442,2.59308,0.000139162,0.000139162,0.000139162
25,80.6565,0.80641,1.31284,1.35531,0.32343,0.55556,0.45457,0.11451,1.82252,4.88903,2.50437,0.000139933,0.000139933,0.000139933
26,83.6481,1.06398,1.6375,1.61202,0.32343,0.55556,0.45457,0.11451,1.82252,4.88903,2.50437,0.000140264,0.000140264,0.000140264
27,86.4369,0.71976,1.17893,1.15442,0.28713,0.55532,0.45069,0.10426,2.00523,4.59307,2.69149,0.000140155,0.000140155,0.000140155
28,89.1051,0.83997,1.366,1.35036,0.28713,0.55532,0.45069,0.10426,2.00523,4.59307,2.69149,0.000139606,0.000139606,0.000139606
29,91.9317,0.50636,1.12527,1.2172,0.4397,0.11111,0.10212,0.05701,2.24585,4.62085,2.83475,0.000138617,0.000138617,0.000138617
30,94.8272,0.6523,1.19881,1.20242,0.4397,0.11111,0.10212,0.05701,2.24585,4.62085,2.83475,0.000137189,0.000137189,0.000137189
31,98.0606,0.75552,1.42899,1.35738,0.49284,0.11111,0.12285,0.0753,2.37711,4.80118,2.97554,0.00013532,0.00013532,0.00013532
32,100.757,0.87625,1.22338,1.37231,0.49284,0.11111,0.12285,0.0753,2.37711,4.80118,2.97554,0.000133011,0.000133011,0.000133011
33,103.182,0.58192,1.28006,1.17891,0.11822,0.18864,0.12154,0.07078,2.30727,4.69725,2.85006,0.000130263,0.000130263,0.000130263
34,106.151,0.54152,1.19928,1.18353,0.11822,0.18864,0.12154,0.07078,2.30727,4.69725,2.85006,0.000127074,0.000127074,0.000127074
35,109.374,0.57874,1.03509,1.22119,0.39824,0.51774,0.4535,0.10569,2.37635,4.44781,2.93038,0.000123445,0.000123445,0.000123445
36,112.222,0.73985,1.10617,1.22483,0.39824,0.51774,0.4535,0.10569,2.37635,4.44781,2.93038,0.000119377,0.000119377,0.000119377
37,114.993,0.70016,1.10994,1.36872,0.41794,0.11111,0.23306,0.08084,2.18439,4.26581,2.73208,0.000114869,0.000114869,0.000114869
38,117.329,0.66925,0.98618,1.18741,0.41794,0.11111,0.23306,0.08084,2.18439,4.26581,2.73208,0.00010992,0.00010992,0.00010992
39,120.513,0.80289,1.29747,1.29528,0.82853,0.11111,0.1871,0.07786,2.22022,3.87024,2.87625,0.000104532,0.000104532,0.000104532
40,124.27,0.69802,1.01224,1.24522,0.82853,0.11111,0.1871,0.07786,2.22022,3.87024,2.87625,9.87035e-05,9.87035e-05,9.87035e-05
41,127.75,0.47083,1.47832,1.10656,0.82971,0.11111,0.21968,0.11192,2.03367,3.77824,2.70722,9.24352e-05,9.24352e-05,9.24352e-05
42,131.022,0.71475,1.5754,1.40072,0.82971,0.11111,0.21968,0.11192,2.03367,3.77824,2.70722,8.5727e-05,8.5727e-05,8.5727e-05
43,134.554,0.53845,1.38601,1.17971,0.84336,0.11111,0.17729,0.10071,1.94441,3.62722,2.70735,7.85788e-05,7.85788e-05,7.85788e-05
44,138.065,0.47452,1.34999,1.11694,0.84336,0.11111,0.17729,0.10071,1.94441,3.62722,2.70735,7.09907e-05,7.09907e-05,7.09907e-05
45,141.227,0.53339,1.39149,1.2645,0.93445,0.11111,0.13171,0.10241,1.98075,3.44117,2.91916,6.29626e-05,6.29626e-05,6.29626e-05
46,144.302,0.45293,1.42927,1.03986,0.93445,0.11111,0.13171,0.10241,1.98075,3.44117,2.91916,5.44945e-05,5.44945e-05,5.44945e-05
47,147.407,0.45602,1.49965,1.12809,0.95488,0.11111,0.12817,0.09943,2.00047,3.38489,2.94388,4.55866e-05,4.55866e-05,4.55866e-05
48,150.351,0.60578,1.59035,1.18089,0.95488,0.11111,0.12817,0.09943,2.00047,3.38489,2.94388,3.62386e-05,3.62386e-05,3.62386e-05
49,153.388,0.50492,1.60619,1.2229,0.95761,0.11111,0.12847,0.09929,2.01502,3.34596,3.09432,2.64507e-05,2.64507e-05,2.64507e-05
50,156.616,0.4572,1.34597,1.195,0.95761,0.11111,0.12847,0.09929,2.01502,3.34596,3.09432,1.62228e-05,1.62228e-05,1.62228e-05
