epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.914,1.088,2.90405,1.68946,0.01708,0.88889,0.08654,0.02566,2.156,4.47198,2.56695,0.00036372,0.00036372,0.00036372
2,95.59,0.97003,1.90421,1.54343,0.98353,0.22222,0.34792,0.11754,2.79961,2.98913,2.99659,0.000719519,0.000719519,0.000719519
3,142.299,0.99463,1.63225,1.50972,0.98502,0.11111,0.16151,0.03824,2.53847,3.85715,3.08358,0.00106065,0.00106065,0.00106065
4,198.983,0.97674,1.5731,1.50181,0.43778,0.11111,0.09646,0.03096,2.78085,4.13424,3.19911,0.00104501,0.00104501,0.00104501
5,258.781,0.91197,1.45009,1.46054,0.42494,0.47354,0.27783,0.08735,2.44711,4.90157,2.88671,0.00102301,0.00102301,0.00102301
6,323.497,0.90194,1.3363,1.44277,0.98567,0.11111,0.21914,0.08834,2.13313,3.31488,2.61015,0.00100101,0.00100101,0.00100101
7,401.92,0.87795,1.26964,1.44576,0.43472,0.11111,0.1378,0.04688,2.61657,3.64129,3.18626,0.000979013,0.000979013,0.000979013
8,460.606,0.85511,1.1596,1.39488,0.49461,0.22222,0.47,0.14908,2.52359,3.54821,3.26464,0.000957015,0.000957015,0.000957015
9,528.477,0.82746,1.09773,1.39364,0.50462,0.11829,0.34971,0.06314,3.20798,3.20758,4.21196,0.000935018,0.000935018,0.000935018
10,585.66,0.84301,1.02233,1.37298,0.99723,0.22222,0.29407,0.12195,1.92131,2.85108,2.46726,0.00091302,0.00091302,0.00091302
11,647.693,0.79277,1.02535,1.37005,0.49455,0.11111,0.07507,0.04546,2.51656,3.73112,3.47998,0.000891022,0.000891022,0.000891022
12,709.783,0.78461,0.99697,1.36033,0.6565,0.11111,0.14002,0.10746,2.25131,3.1564,3.22217,0.000869024,0.000869024,0.000869024
13,773.905,0.76168,0.94663,1.33435,0.50676,0.24176,0.31,0.1493,2.32574,2.73545,2.8309,0.000847026,0.000847026,0.000847026
14,846.071,0.77986,0.91033,1.336,0.64422,0.22222,0.34401,0.15751,2.40474,2.70457,3.23479,0.000825029,0.000825029,0.000825029
15,917.82,0.71649,0.83437,1.29911,0.49507,0.11111,0.23742,0.07805,2.58307,3.12047,3.15877,0.000803031,0.000803031,0.000803031
16,995.891,0.72684,0.81459,1.29763,0.5416,0.22222,0.37961,0.1804,2.17076,2.93477,2.64675,0.000781033,0.000781033,0.000781033
17,1059.28,0.73242,0.81604,1.29618,0.4142,0.03594,0.13718,0.05792,2.39967,3.62904,3.15314,0.000759035,0.000759035,0.000759035
18,1125.11,0.7009,0.74391,1.29372,0.53944,0.22222,0.1945,0.106,2.74284,2.81999,3.06954,0.000737037,0.000737037,0.000737037
19,1185.77,0.67962,0.75216,1.26366,0.82993,0.11111,0.10219,0.05276,2.09605,3.33959,2.7457,0.00071504,0.00071504,0.00071504
